Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4-pruebas capacitación,Chrome 96.0.4664.93,,,2021-12-14 15:42:59,2021-12-14 15:48:52,"5m - 52,999s",FAILED
,,,,,,,
Test Cases/4.1-Pruebas_Capacitación/4.1.1-Nuevo_Curso,Chrome 96.0.4664.93,,,2021-12-14 15:43:00,2021-12-14 15:43:42,"42,189s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 96.0.4664.93,,,2021-12-14 15:43:00,2021-12-14 15:43:10,"9,873s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/input_ADMINISTRADOR DEL SISTEMA - SARA_form_templatej_idt24_input""), ""Cursos (cap)"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:10,2021-12-14 15:43:11,"1,167s",PASSED
"waitForElementClickable(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/li_Cursos (cap)""), 0)",Chrome 96.0.4664.93,,,2021-12-14 15:43:11,2021-12-14 15:43:13,"1,357s",PASSED
"click(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/li_Cursos (cap)""), STOP_ON_FAILURE)",Chrome 96.0.4664.93,,,2021-12-14 15:43:13,2021-12-14 15:43:13,"0,401s",PASSED
"if (waitForElementPresent(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/td_Prueba""), 1))",Chrome 96.0.4664.93,,,2021-12-14 15:43:13,2021-12-14 15:43:21,"8,366s",PASSED
"click(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/a_Nuevo""), STOP_ON_FAILURE)",Chrome 96.0.4664.93,,,2021-12-14 15:43:21,2021-12-14 15:43:22,"0,554s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/textarea_Curso_form_cursopestaniasdescripcion""), ""Prueba"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:22,2021-12-14 15:43:23,"1,085s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/input_Intensidad Horaria_form_cursopestaniasintensidad""), ""12"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:23,2021-12-14 15:43:24,"0,774s",PASSED
"check(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/label_Ambas""), STOP_ON_FAILURE)",Chrome 96.0.4664.93,,,2021-12-14 15:43:24,2021-12-14 15:43:24,"0,470s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/input_Puntaje Minimo_form_cursopestaniaspuntajeminimo""), ""10"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:24,2021-12-14 15:43:25,"1,078s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/input_Puntaje Aprobacin_form_cursopestaniaspuntajeaproba""), ""31"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:25,2021-12-14 15:43:26,"0,723s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/textarea_Prerrequisito_form_cursopestaniasprerequisito""), ""null"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:26,2021-12-14 15:43:27,"0,838s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/textarea_Metodologa_form_cursopestaniasmetodologia""), ""virtual"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:27,2021-12-14 15:43:28,"0,793s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/select_-- Seleccione --CARTAS DE RETIROCERT""), ""1"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:28,2021-12-14 15:43:29,"1,144s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/select_SeleccioneNINGUNOIcetexInstituto Caro y Cuervo.PositivaSena""), 5)",Chrome 96.0.4664.93,,,2021-12-14 15:43:29,2021-12-14 15:43:30,"1,110s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/select_ActivoCancelado""), 1)",Chrome 96.0.4664.93,,,2021-12-14 15:43:30,2021-12-14 15:43:31,"1,112s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/input_Asistencia Mnima Horas_form_cursopestaniasasistenciamin""), ""8"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:31,2021-12-14 15:43:32,"0,748s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/input_Puntaje Mximo_form_cursopestaniaspuntajemaximo""), ""50"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:32,2021-12-14 15:43:33,"0,869s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/textarea_Poblacin Objeto_form_cursopestaniascobertura""), ""null"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:33,2021-12-14 15:43:33,"0,774s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/textarea_Objetivo_form_cursopestaniasimpacto""), ""null"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:33,2021-12-14 15:43:34,"0,775s",PASSED
"setText(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/textarea_Contenido_form_cursopestaniascontenido""), ""null"")",Chrome 96.0.4664.93,,,2021-12-14 15:43:34,2021-12-14 15:43:35,"0,859s",PASSED
"click(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/a_Guardar""))",Chrome 96.0.4664.93,,,2021-12-14 15:43:35,2021-12-14 15:43:35,"0,426s",PASSED
"click(findTestObject(""Modulo Pruebas Capacitación/Nuevo_Curso/a_Tema""))",Chrome 96.0.4664.93,,,2021-12-14 15:43:35,2021-12-14 15:43:37,"1,576s",PASSED
