Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
10-Pruebas_Selección,Chrome 99.0.4844.51,,,2022-03-16 17:48:16,2022-03-16 17:53:37,"5m - 20,577s",FAILED
,,,,,,,
Test Cases/10.1-Pruebas_Selección/10.1.1-Crear_un_requerimiento_según_motivo_y_formato,Chrome 99.0.4844.51,,,2022-03-16 17:48:17,2022-03-16 17:48:47,"29,813s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 99.0.4844.51,,,2022-03-16 17:48:17,2022-03-16 17:48:31,"14,062s",PASSED
"setText(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/input_Empresa 1_form_templatej_idt24_input""), ""requerimiento personal"")",Chrome 99.0.4844.51,,,2022-03-16 17:48:31,2022-03-16 17:48:33,"1,330s",PASSED
"click(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/span_Requerimiento Personal""))",Chrome 99.0.4844.51,,,2022-03-16 17:48:33,2022-03-16 17:48:34,"1,433s",PASSED
"if (waitForElementVisible(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/span_PRUEBA""), 1))",Chrome 99.0.4844.51,,,2022-03-16 17:48:34,2022-03-16 17:48:37,"2,404s",PASSED
else,Chrome 99.0.4844.51,,,2022-03-16 17:48:37,2022-03-16 17:48:38,"1,074s",PASSED
"if (waitForElementVisible(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/a_Modificar Motivo""), 1))",Chrome 99.0.4844.51,,,2022-03-16 17:48:38,2022-03-16 17:48:39,"1,566s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/select_2120 HORAS1240 HORAS0NO DEFINIDO61Pensin Convencional62""), 3)",Chrome 99.0.4844.51,,,2022-03-16 17:48:39,2022-03-16 17:48:41,"1,365s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/select_Tcnico AdministrativoOperativo""), 2)",Chrome 99.0.4844.51,,,2022-03-16 17:48:41,2022-03-16 17:48:42,"1,011s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/select_1 mes2 meses3 meses6 mesesNo aplicaOtro""), 4)",Chrome 99.0.4844.51,,,2022-03-16 17:48:42,2022-03-16 17:48:43,"1,052s",PASSED
"setText(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/input_Horario_requerimientoPersonalPM_formj_idt11990tablaCamHijo8j_idt1209""), ""454"")",Chrome 99.0.4844.51,,,2022-03-16 17:48:43,2022-03-16 17:48:43,"0,775s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/select_1. volumenes de venta2. Carga en volumenes de operacin3""), 3)",Chrome 99.0.4844.51,,,2022-03-16 17:48:43,2022-03-16 17:48:44,"1,085s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/select_Interna AbiertaInterna CerradaExternaInterna y Externa""), 1)",Chrome 99.0.4844.51,,,2022-03-16 17:48:44,2022-03-16 17:48:45,"0,947s",PASSED
"click(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/a_Guardar Directo""))",Chrome 99.0.4844.51,,,2022-03-16 17:48:45,2022-03-16 17:48:46,"0,392s",PASSED
closeBrowser(),Chrome 99.0.4844.51,,,2022-03-16 17:48:46,2022-03-16 17:48:47,"0,746s",PASSED
,,,,,,,
Test Cases/10.1-Pruebas_Selección/10.1.2-Flujo_aprobación_requerimiento,Chrome 99.0.4844.51,,,2022-03-16 17:48:47,2022-03-16 17:48:57,"10,592s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 99.0.4844.51,,,2022-03-16 17:48:47,2022-03-16 17:48:52,"4,948s",PASSED
