Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
12-Pruebas_Planta_Personal,Chrome 98.0.4758.102,,,2022-02-23 12:12:25,2022-02-23 12:18:12,"5m - 47,008s",PASSED
,,,,,,,
Test Cases/12.1-Pruebas_Planta_Personal/12.1.1-Crear_una_unidad,Chrome 98.0.4758.102,,,2022-02-23 12:12:25,2022-02-23 12:12:54,"28,937s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-02-23 12:12:26,2022-02-23 12:12:35,"9,390s",PASSED
"setText(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/input_Empresa 1_form_templatej_idt24_input""), ""planta personal (tal)"")",Chrome 98.0.4758.102,,,2022-02-23 12:12:35,2022-02-23 12:12:36,"1,201s",PASSED
"click(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_Planta Personal (tal)""))",Chrome 98.0.4758.102,,,2022-02-23 12:12:36,2022-02-23 12:12:38,"1,375s",PASSED
"click(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_Administracion""))",Chrome 98.0.4758.102,,,2022-02-23 12:12:38,2022-02-23 12:12:39,"1,302s",PASSED
"click(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_No Relacionado_ui-button-icon-left ui-icon ui-c ui-icon-triangle-1-s""))",Chrome 98.0.4758.102,,,2022-02-23 12:12:39,2022-02-23 12:12:41,"2,076s",PASSED
"click(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_Organigrama""))",Chrome 98.0.4758.102,,,2022-02-23 12:12:41,2022-02-23 12:12:42,"0,410s",PASSED
"getText(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_Pruebas  Katalon""))",Chrome 98.0.4758.102,,,2022-02-23 12:12:42,2022-02-23 12:12:43,"1,622s",PASSED
"if (waitForElementVisible(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_Pruebas  Katalon""), 1))",Chrome 98.0.4758.102,,,2022-02-23 12:12:43,2022-02-23 12:12:47,"4,232s",PASSED
"click(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/a_Organigrama_organigramacrearUnidad""))",Chrome 98.0.4758.102,,,2022-02-23 12:12:47,2022-02-23 12:12:49,"1,183s",PASSED
"setText(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/input_Unidad Organizacional_popupUnidadOrganizacional_formcodigoUnidadPopup""), ""27"")",Chrome 98.0.4758.102,,,2022-02-23 12:12:49,2022-02-23 12:12:50,"1,254s",PASSED
